,dT,total_massbalance,point_massbalance
0,-4,-66.15038751403911,"[  79.17078919   75.73256817   72.21821577   68.65656495   65.24127926
   61.78224535   58.27565061   54.79008757   51.32335114   47.81059242
   44.4475974    41.10546798   37.58997936   34.29125476   30.7584765
   27.37694529   23.8970857    20.06950897   17.09544199   14.01025374
   10.87419819    7.94559795    4.77676303    1.81241472   -1.07029496
   -4.19372038   -7.11305779  -10.01349144  -13.09153136  -15.89986731
  -18.94563978  -21.7857679   -24.67363194  -27.67212074  -30.4646812
  -33.23905353  -36.25283142  -38.93163292  -41.84763877  -44.61872249
  -47.43760481  -50.36450809  -53.01860993  -55.78320738  -58.6534762
  -61.18586662  -64.08046705  -66.82349171  -69.5412224   -72.41250428
  -75.14060722  -78.43105158  -80.74799542  -83.30931973  -85.72837494
  -88.13450858  -90.46380048  -92.97144359  -95.2733258   -97.7542233
 -100.02991392 -102.4197439  -104.66684794 -107.0293368  -109.44116361
 -111.7748284  -113.96706557 -116.39960285 -118.49838949 -120.96623904
 -123.10008334 -125.47345564 -127.57635181 -129.91915094 -132.18229654
 -134.23799299 -136.6588308  -138.68181567 -141.13303879 -143.18134631
 -145.53331349 -147.73236066 -150.03793456 -152.62865064 -154.4950566
 -156.41670385 -158.32404334 -160.22115015 -162.04470502 -163.98062023
 -165.8435402  -167.63134231 -169.46792803 -171.29690225 -173.17382646
 -174.9773025  -176.76825977 -178.60820656 -180.31082439 -182.19162294]"
1,-3,-15.087513011491335,"[ 104.93291207  102.0650371    99.12008075   96.33598809   93.4286555
   90.64019621   87.83085546   85.14049608   82.41383292   79.65134335
   76.90395402   74.215323     71.44387562   68.83103216   66.08592232
   63.40208217   60.73269418   58.12253753   55.4800422    52.75443671
   50.18540865   47.58385463   44.99598352   42.37307438   39.81424754
   37.22134738   34.64310018   32.12906515   29.53306279   26.95383537
   24.43975592   21.75001442   19.22436584   16.29120527   13.91114507
   11.68739332    9.33094106    7.03136913    4.84137644    2.47003349
    0.30058951   -1.95149756   -4.28951935   -6.37595778   -8.73749582
  -10.8497535   -13.04462991  -15.3233754   -17.3522543   -19.60687957
  -21.80224447  -23.89067377  -26.10861535  -28.17145882  -30.26975361
  -32.45007675  -34.52271498  -36.58161883  -38.7224864   -40.70634328
  -43.01121092  -44.91766089  -47.00145386  -49.16300797  -51.06770718
  -53.28402591  -55.28528354  -57.61465557  -59.69343358  -61.47473297
  -63.39010222  -65.15173903  -66.99964634  -68.83713179  -70.56918439
  -72.38703886  -74.14621765  -75.84763004  -77.73083185  -79.41129155
  -81.22580871  -82.9329721   -84.63053918  -86.41251878  -88.08821939
  -89.84877903  -91.50219892  -93.14388421  -94.9189017   -96.53825153
  -98.24110836  -99.93301677 -101.56409966 -103.27795775 -104.83665792
 -106.61941002 -108.19850129 -109.95297545 -111.59393497 -113.79269631]"
2,-2,15.554047390431622,"[104.70826497 102.61281232 100.40802596  98.31261516  96.19385372
  94.05253248  91.9872311   89.8978217   87.78820975  85.71967719
  83.56567707  81.55075256  79.48185553  77.35988324  75.28071519
  73.0843071   70.86777047  68.94976517  67.04380543  65.18278087
  63.30123356  61.4024846   59.51945275  57.65569134  55.80281782
  53.98888357  52.15194262  50.35596683  48.56793633  46.75728923
  44.95531969  43.16105007  41.40924525  39.58539459  37.86628408
  36.10910788  34.32828247  32.62063963  30.89112268  29.1378253
  27.39504379  25.66167557  23.90529621  22.2237987   20.55273399
  18.79498968  17.14562738  15.37923825  13.68847265  11.94854285
  10.03475448   8.54772099   7.00512687   5.43709909   3.97279897
   2.38838152   0.90620736  -0.53514748  -2.09686019  -3.5565289
  -5.00674572  -6.54576568  -7.94993366  -9.47281989 -10.89288395
 -12.33681597 -13.83606037 -15.2323406  -16.61952677 -18.12641571
 -19.46581646 -20.92381939 -22.30936125 -23.7188024  -25.18225405
 -26.50930497 -27.89160369 -29.3267381  -30.59293331 -32.04023353
 -33.41174585 -34.7706112  -36.20625214 -37.57030361 -39.21552579
 -40.37399771 -41.65465986 -42.86418747 -44.06725429 -45.23190024
 -46.48572179 -47.6366629  -48.87711165 -50.01495696 -51.20987195
 -52.33342397 -53.5146684  -54.72058181 -55.8874142  -56.98353279]"
3,-1,21.97731054785668,"[ 71.01605246  69.86334222  68.65411942  67.50108575  66.30938895
  65.16103526  64.05254132  62.87021547  61.75698327  60.66659608
  59.51817191  58.40710177  57.31979514  56.17369493  55.08277842
  53.99918738  52.88931934  51.83736212  50.74629398  49.69546209
  48.65017021  47.5609156   46.50932676  45.46262336  44.42043398
  43.40045062  42.35271224  41.2947127   40.25756928  39.22571875
  38.13575387  37.09856862  35.92331592  34.97763736  34.02167903
  33.04002692  32.11199603  31.14288517  30.21339874  29.27695182
  28.38016536  27.47127764  26.55044778  25.63465134  24.738441
  23.81462521  22.94367739  22.02864077  21.13402739  20.24423139
  19.37417918  18.4933474   17.58481224  16.72846955  15.86128488
  14.99866117  14.12435813  13.27141585  12.40711579  11.54770006
  10.70968838   9.84435426   8.98461179   8.14658531   7.25000481
   6.40812195   5.43040176   4.63704836   3.89579777   3.11031369
   2.34378971   1.61379215   0.8233445    0.1001965   -0.65049919
  -1.42983978  -2.12531926  -2.91249861  -3.6165845   -4.34820997
  -5.1077918   -5.78408477  -6.53562652  -7.26741482  -7.96355792
  -8.70287178  -9.39048627 -10.08991787 -10.81669225 -11.50757166
 -12.19387294 -12.90749547 -13.56878109 -14.33707031 -14.97255363
 -15.66715129 -16.38766932 -17.02256906 -17.76134197 -18.42842785]"
4,0,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]"
5,1,-55.19820315382393,"[-115.94360758 -114.47563905 -112.95035499 -111.49507357 -109.98277534
 -108.49269198 -106.92921677 -105.50039382 -104.14189667 -102.7582759
 -101.36486473 -100.01046639  -98.61420624  -97.27288435  -95.93835309
  -94.56191908  -93.2251223   -91.9258835   -90.55477783  -89.25334381
  -87.91172147  -86.59220916  -85.29634847  -83.95894203  -82.6608163
  -81.40240453  -80.10297235  -78.82667226  -77.55810946  -76.26553562
  -74.99589511  -73.7352318   -72.41903779  -71.01605246  -69.86334222
  -68.65411942  -67.50108575  -66.30938895  -65.16103526  -64.05254132
  -62.87021547  -61.75698327  -60.66659608  -59.51817191  -58.40710177
  -57.31979514  -56.17369493  -55.08277842  -53.99918738  -52.88931934
  -51.83736212  -50.74629398  -49.69546209  -48.65017021  -47.5609156
  -46.50932676  -45.46262336  -44.42043398  -43.40045062  -42.35271224
  -41.2947127   -40.25756928  -39.22571875  -38.13575387  -37.09856862
  -35.92331592  -34.97763736  -34.02167903  -33.04002692  -32.11199603
  -31.14288517  -30.21339874  -29.27695182  -28.38016536  -27.47127764
  -26.55044778  -25.63465134  -24.738441    -23.81462521  -22.94367739
  -22.02864077  -21.13402739  -20.24423139  -19.37417918  -18.4933474
  -17.58481224  -16.72846955  -15.86128488  -14.99866117  -14.12435813
  -13.27141585  -12.40711579  -11.54770006  -10.70968838   -9.84435426
   -8.98461179   -8.14658531   -7.25000481   -6.40812195   -5.43040176]"
6,2,-148.9729129869897,"[-282.33374422 -279.05213509 -275.75214203 -272.56274798 -269.57640085
 -266.44626746 -263.39029779 -260.3500005  -257.25769529 -254.24278315
 -251.24105971 -248.28437932 -245.27614618 -242.25047728 -239.26784833
 -236.23586475 -233.31235508 -230.30580962 -227.37622838 -224.45912106
 -221.4926591  -218.47323709 -215.43637932 -212.4759688  -209.68860133
 -206.91442256 -204.08963686 -201.37284324 -198.671722   -195.88476449
 -193.21002071 -190.45032384 -187.737226   -185.10174422 -182.41485696
 -179.77463093 -177.14691744 -174.50254163 -171.90247591 -169.31782858
 -166.68243358 -164.12630222 -161.51826189 -158.96008546 -156.41465486
 -153.78952252 -151.2433016  -148.71389028 -146.13628923 -143.51199635
 -140.87707085 -138.51538752 -136.16925862 -133.87190923 -131.49992605
 -129.1794949  -126.96932598 -124.6736874  -122.38955183 -120.11978825
 -117.89117199 -115.70946154 -113.44452405 -111.22176655 -109.11258237
 -106.85428326 -104.70826497 -102.61281232 -100.40802596  -98.31261516
  -96.19385372  -94.05253248  -91.9872311   -89.8978217   -87.78820975
  -85.71967719  -83.56567707  -81.55075256  -79.48185553  -77.35988324
  -75.28071519  -73.0843071   -70.86777047  -68.94976517  -67.04380543
  -65.18278087  -63.30123356  -61.4024846   -59.51945275  -57.65569134
  -55.80281782  -53.98888357  -52.15194262  -50.35596683  -48.56793633
  -46.75728923  -44.95531969  -43.16105007  -41.40924525  -39.58539459]"
7,3,-287.2656650452207,"[-507.09615739 -501.75747702 -496.54242269 -491.30477625 -485.85406142
 -480.47214657 -475.35419859 -470.40346251 -465.47412268 -460.46972164
 -455.63246245 -450.62504541 -445.63699111 -440.95989168 -435.77312235
 -431.04178805 -426.03946869 -421.01354873 -416.0523027  -411.25796837
 -406.62592578 -402.06225507 -397.27939918 -392.80295782 -388.20355498
 -383.71878091 -379.15863602 -374.56946849 -370.09625777 -365.64287147
 -361.11212979 -356.65033769 -352.1585535  -347.83082274 -343.42691714
 -338.85106497 -334.4852207  -329.94832602 -325.47807595 -320.78765031
 -316.50118147 -312.42569    -308.2748277  -304.09459418 -300.03139918
 -295.84261871 -291.81865306 -287.81505928 -283.68575724 -279.67536691
 -275.77765051 -271.6643335  -267.76003144 -263.7351644  -259.77662747
 -255.88904541 -251.87682609 -247.98244891 -244.20721358 -240.30891705
 -236.48001677 -232.67432839 -228.79660687 -224.98768534 -221.20569541
 -217.25711338 -213.04815739 -209.59002666 -205.96235827 -202.50325725
 -198.92816684 -195.48310577 -192.15762397 -188.61064642 -185.27094982
 -181.99978824 -178.55451572 -175.22130532 -171.95938543 -168.5210848
 -165.24833525 -161.99756215 -158.66795803 -155.51208637 -152.23888194
 -149.08638628 -145.95051063 -142.6827468  -139.52798028 -136.38787008
 -133.26130195 -130.20135187 -127.05813671 -123.88413809 -120.77270783
 -117.67715626 -114.4072616  -111.29570585 -107.76994775 -104.93291207]"
8,4,-476.62391886439474,"[-796.77652995 -789.1063847  -781.85280111 -774.30098764 -767.10432083
 -759.60801399 -752.45725307 -745.08030378 -737.7216491  -730.51973844
 -723.27683379 -715.99098979 -708.73367029 -701.70745483 -694.40397179
 -687.13404777 -679.8312326  -672.4989018  -665.52930573 -658.46632601
 -651.37096684 -643.86122686 -637.27730972 -630.4699891  -624.00816013
 -617.26205898 -610.60413989 -604.23274807 -597.50386091 -591.12581053
 -584.45238033 -577.87362549 -571.57589574 -564.66748843 -558.10427018
 -551.50428405 -545.12549596 -539.15280171 -532.89253492 -526.78059558
 -520.70000099 -514.51539058 -508.4855663  -502.48211942 -496.56875863
 -490.55229236 -484.50095457 -478.53569666 -472.4717295  -466.62471016
 -460.61161925 -454.75245677 -448.91824212 -442.9853182  -436.94647418
 -430.87275863 -424.9519376  -419.37720266 -413.82884512 -408.17927372
 -402.74568649 -397.34344401 -391.76952898 -386.42004142 -380.90064769
 -375.474452   -370.20348843 -364.82971392 -359.54926186 -354.29383488
 -349.00508326 -343.80495182 -338.63565716 -333.36486717 -328.25260443
 -323.03652377 -317.92017092 -312.82930972 -307.57904505 -302.4866032
 -297.42778055 -292.27257846 -287.0239927  -281.75414169 -277.03077504
 -272.33851724 -267.74381846 -262.99985211 -258.35898979 -253.93865197
 -249.3473748  -244.77910365 -240.23957651 -235.78234398 -231.41892308
 -226.8890481  -222.4435331  -218.22516474 -213.70856652 -209.41652995]"
